,endTime,artistName,trackName,msPlayed
2566,2024-03-13 06:14,Kali Uchis,telepatía,1718
2567,2024-03-13 06:14,The Neighbourhood,Daddy Issues,394
2568,2024-03-13 06:14,"Tyler, The Creator",EARFQUAKE,142059
2569,2024-03-13 06:14,Tame Impala,The Less I Know The Better,1346
2570,2024-03-13 06:15,Jaden,BYE,1369
2571,2024-03-13 06:15,Steve Lacy,Some,1253
2572,2024-03-13 06:15,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),928
2573,2024-03-13 06:15,SZA,Broken Clocks,1857
2574,2024-03-13 06:15,Frank Ocean,Pink + White,13769
2575,2024-03-13 06:16,Thundercat,Funny Thing,79946
2576,2024-03-13 06:44,Jaden,Summer,1764
2577,2024-03-13 06:44,Frank Ocean,Thinkin Bout You,4620
2578,2024-03-13 06:44,The Weeknd,Die For You,195883
2579,2024-03-13 06:49,The Weeknd,Call Out My Name,276108
2580,2024-03-13 06:49,Hotel Ugly,Shut up My Moms Calling,185
2581,2024-03-13 06:51,Bruno Mars,That's What I Like,998
2582,2024-03-13 06:51,Kanye West,Heartless,120209
2583,2024-03-13 06:54,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),204763
2584,2024-03-13 06:56,Doja Cat,You Right,146727
2585,2024-03-13 06:57,Drake,Yebba’s Heartbreak,0
2586,2024-03-13 06:57,Kali Uchis,telepatía,743
2587,2024-03-13 06:57,The Weeknd,Reminder,0
2588,2024-03-13 06:57,Miguel,Girl With The Tattoo Enter.lewd,5015
2589,2024-03-13 06:57,Kanye West,Flashing Lights,11447
2590,2024-03-13 06:57,Gesaffelstein,Lost in the Fire (feat. The Weeknd),2716
2591,2024-03-13 06:57,Arctic Monkeys,Why'd You Only Call Me When You're High?,1462
2592,2024-03-13 06:57,Kali Uchis,Moonlight,789
2593,2024-03-13 06:57,XXXTENTACION,Revenge,0
2594,2024-03-13 07:00,Paramore,Forgiveness,1509
2595,2024-03-13 07:00,The Japanese House,Touching Yourself,1416
2596,2024-03-13 07:00,Paramore,Crave,193468
2597,2024-03-13 07:00,Olivia Rodrigo,lacy,1044
2598,2024-03-13 07:00,MINOVA,I Miss You So,952
2599,2024-03-13 12:29,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),118421
2600,2024-03-13 13:11,Taylor Swift,Dress,88862
2601,2024-03-13 13:19,Gracie Abrams,"I miss you, I’m sorry",228716
2602,2024-03-13 13:22,Sabrina Carpenter,Feather,224374
2603,2024-03-13 14:12,Mitski,First Love/Late Spring,84330
2604,2024-03-13 14:13,beabadoobee,the perfect pair,810
2605,2024-03-13 14:13,Laufey,Promise,1514
2606,2024-03-13 14:13,Taylor Swift,"You're On Your Own, Kid",40320
2607,2024-03-13 14:13,Harry Styles,Satellite,1130
2608,2024-03-13 14:13,Sabrina Carpenter,Feather,831
2609,2024-03-13 14:13,Laufey,From The Start,1002
2610,2024-03-13 14:13,Sabrina Carpenter,Nonsense,767
2611,2024-03-13 14:13,Keane,Somewhere Only We Know,1493
2612,2024-03-13 14:13,Mitski,Francis Forever,1066
2613,2024-03-13 14:13,Sabrina Carpenter,because i liked a boy,1130
2614,2024-03-13 14:13,Djo,End of Beginning,1002
2615,2024-03-13 14:13,Mitski,My Love Mine All Mine,1045
2616,2024-03-13 14:13,beabadoobee,Glue Song (feat. Clairo),1343
2617,2024-03-13 14:13,Taylor Swift,this is me trying,1258
2618,2024-03-13 14:13,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",1621
2619,2024-03-13 14:13,Laufey,Goddess,1514
2620,2024-03-13 14:13,Taylor Swift,Midnight Rain,1408
2621,2024-03-13 14:14,Labrinth,Never Felt So Alone,10687
2622,2024-03-13 14:16,The Strokes,Ize of the World,0
2623,2024-03-13 14:16,Coldplay,Trouble,0
2624,2024-03-13 14:16,The Strokes,"Call It Fate, Call It Karma",981
2625,2024-03-13 14:16,The Strokes,Is This It,142506
2626,2024-03-13 14:16,The Strokes,Automatic Stop,1471
2627,2024-03-13 14:16,Tame Impala,The Less I Know The Better,1514
2628,2024-03-13 14:18,Grizzly Bear,Two Weeks,2197
2629,2024-03-13 14:18,The Marías,...baby one more time,960
2630,2024-03-13 14:18,Nirvana,Lounge Act,1429
2631,2024-03-13 14:18,The Rare Occasions,Notion,1685
2632,2024-03-13 14:18,Alex Turner,Stuck on the puzzle,130901
2633,2024-03-13 14:20,The Strokes,The Adults Are Talking,103381
2634,2024-03-14 02:51,Green Day,Give Me Novacaine / She's a Rebel,11136
2635,2024-03-14 15:33,Shankar-Ehsaan-Loy,Kal Ho Naa Ho,5077
2636,2024-03-14 15:33,KK,Such Keh Raha Hai,1215
2637,2024-03-14 15:33,Sonu Nigam,Tumse Milke Dil Ka,960
2638,2024-03-14 15:33,Shankar-Ehsaan-Loy,Tumhi Dekho Naa,93717
2639,2024-03-14 15:33,Amit Trivedi,"Iktara (From ""Wake Up Sid"")",1109
2640,2024-03-14 15:33,Shankar-Ehsaan-Loy,Sajde,8191
2641,2024-03-14 15:33,Atif Aslam,Pehli Nazar Mein,1151
2642,2024-03-14 15:33,Atif Aslam,Piya O Re Piya,1365
2643,2024-03-14 15:33,Abhijeet,"Chaand Taare (From ""Yes Boss"")",789
2644,2024-03-14 15:33,Rashid Ali,Kahin To,896
2645,2024-03-14 15:37,Takayoshi,unconditionally,10611
2646,2024-03-14 15:37,Takayoshi,unconditionally,626
2647,2024-03-15 02:15,Green Day,Give Me Novacaine / She's a Rebel,136161
2648,2024-03-15 02:21,Gracie Abrams,"I miss you, I’m sorry",351851
2649,2024-03-15 02:25,Taylor Swift,Dress,230373
2650,2024-03-15 02:30,Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",209745
2651,2024-03-15 02:43,Jaden,Summertime In Paris,235032
2652,2024-03-15 02:51,Mitski,First Love/Late Spring,320156
2653,2024-03-15 02:53,The Walters,I Love You So,155434
2654,2024-03-15 02:53,Djo,End of Beginning,1230
2655,2024-03-15 02:54,Matt Maltese,Intolewd,5085
2656,2024-03-15 02:54,Lana Del Rey,The Other Woman,3529
2657,2024-03-15 02:54,Mitski,My Love Mine All Mine,4086
2658,2024-03-15 02:54,TV Girl,Lovers Rock,13235
2659,2024-03-15 02:58,Laufey,Goddess,267866
2660,2024-03-15 03:01,Mitski,Francis Forever,149680
2661,2024-03-15 03:01,Faye Webster,Right Side of My Neck,20426
2662,2024-03-15 03:15,Mitski,Strawberry Blond,789
2663,2024-03-15 03:15,Laufey,From The Start,1137
2664,2024-03-15 03:15,Tally Hall,Hidden In the Sand,0
2665,2024-03-15 03:15,The Weeknd,Stargirl Interlude,1044
2666,2024-03-15 03:15,beabadoobee,A Night To Remember,137438
2667,2024-03-15 03:15,beabadoobee,Glue Song,5758
2668,2024-03-15 03:15,juju<3,Wasted Summers,580
2669,2024-03-15 03:18,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),952
2670,2024-03-15 03:18,Bruno Mars,That's What I Like,975
2671,2024-03-15 03:18,Halsey,Without Me,3413
2672,2024-03-15 03:18,The Weeknd,Call Out My Name,185016
