artistName,trackName,msPlayed
Anurag Saikia,Aise Kyun,20776
Anuv Jain,Alag Aasmaan,187176
Anuv Jain,Baarishein,1346
Anuv Jain,Husn,766250
Anuv Jain,Mazaak,2275
Arctic Monkeys,505,301579
Arctic Monkeys,Arabella,207356
Arctic Monkeys,Baby I'm Yours,152613
Arctic Monkeys,Balaclava,171226
Arctic Monkeys,Body Paint,285866
Arctic Monkeys,Brianstorm,172866
Arctic Monkeys,Catapult,199935
Arctic Monkeys,Cornerstone,197973
Arctic Monkeys,Crying Lightning,224826
Arctic Monkeys,D is for Dangerous,73700
Arctic Monkeys,Do I Wanna Know?,272394
Arctic Monkeys,Fireside,111934
Arctic Monkeys,Fluorescent Adolescent,175867
Arctic Monkeys,I Ain’t Quite Where I Think I Am,1462
Arctic Monkeys,I Bet You Look Good On The Dancefloor,159637
Arctic Monkeys,I Wanna Be Yours,274901
Arctic Monkeys,I Want It All,123762
Arctic Monkeys,Knee Socks,257563
Arctic Monkeys,Leave Before The Lights Come On,5994
Arctic Monkeys,Mad Sounds,215011
Arctic Monkeys,Mardy Bum,175440
Arctic Monkeys,No Buses,1207
Arctic Monkeys,No. 1 Party Anthem,341995
Arctic Monkeys,One For The Road,160960
Arctic Monkeys,R U Mine?,201726
Arctic Monkeys,Red Light Indicates Doors Are Secured,1277
Arctic Monkeys,She's Thunderstorms,416151
Arctic Monkeys,Snap Out Of It,193030
Arctic Monkeys,Stop The World I Wanna Get Off With You,24145
Arctic Monkeys,Teddy Picker,251541
Arctic Monkeys,The View From The Afternoon,55573
Arctic Monkeys,There’d Better Be A Mirrorball,200674
Arctic Monkeys,Why'd You Only Call Me When You're High?,329696
Ariana Grande,34+35,163654
Ariana Grande,7 rings,4437
Ariana Grande,Dangerous Woman,36416
Ariana Grande,Daydreamin',998
Ariana Grande,Everyday,0
Ariana Grande,God is a woman,197546
Ariana Grande,Let Me Love You,1253
Ariana Grande,One Last Time,1280
Ariana Grande,Problem,640
Ariana Grande,Side To Side,251704
Ariana Grande,Stuck with U (with Justin Bieber),1834
Ariana Grande,bloodline,210558
Ariana Grande,boyfriend (with Social House),1642
Ariana Grande,"break up with your girlfriend, i'm bored",0
Ariana Grande,bye,743
Ariana Grande,don't wanna break up again,1137
Ariana Grande,eternal sunshine,626
Ariana Grande,everytime,928
Ariana Grande,imperfect for you,510
Ariana Grande,intro (end of the world),16915
Ariana Grande,motive (with Doja Cat),2218
Ariana Grande,no tears left to cry,1532
Ariana Grande,positions,3088
Ariana Grande,supernatural,835
Ariana Grande,"thank u, next",938
Ariana Grande,the boy is mine,10893
Ariana Grande,true story,3529
Ariana Grande,we can't be friends (wait for your love),228639
Ariana Grande,"yes, and?",166116
Arijit Singh,Dekha Hazaro Dafaa,207751
Arijit Singh,Dil Haareya,975
Arijit Singh,"Humdard (From ""Ek Villain"")",10983
Arijit Singh,"Mast Magan (From ""2 States"")",1137
Arijit Singh,"Milne Hai Mujhse Aayi (From ""Aashiqui 2"")",57237
Arijit Singh,Nashe Si Chadh Gayi,1973
Arijit Singh,"Pachtaoge (From ""Jaani Ve"")",534
