artistName,trackName,danceability,loudness,speechiness,acousticness,valence,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
Xenoner,Dark Red,0.805,0.868038873116401,0.0327,0.0474,0.862,6xT4CGw2JdMqnDxkE5SbZB,spotify:track:6xT4CGw2JdMqnDxkE5SbZB,https://api.spotify.com/v1/tracks/6xT4CGw2JdMqnDxkE5SbZB,https://api.spotify.com/v1/audio-analysis/6xT4CGw2JdMqnDxkE5SbZB,121875.0,4.0,1
Xian Paul,All You Want,0.837,0.5999399432190435,0.0797,0.296,0.948,4GlvQiWRNNbnYQEZ2g5WTN,spotify:track:4GlvQiWRNNbnYQEZ2g5WTN,https://api.spotify.com/v1/tracks/4GlvQiWRNNbnYQEZ2g5WTN,https://api.spotify.com/v1/audio-analysis/4GlvQiWRNNbnYQEZ2g5WTN,179437.0,4.0,1
YOASOBI,夜に駆ける,0.67,0.8323869840576545,0.0305,0.00231,0.789,3dPtXHP0oXQ4HCWHsOA9js,spotify:track:3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/tracks/3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/audio-analysis/3dPtXHP0oXQ4HCWHsOA9js,261013.0,4.0,1
YUI,again,0.595,0.8701954575234768,0.0379,0.046,0.494,4OQq1bcP12GQQXJNupxqfR,spotify:track:4OQq1bcP12GQQXJNupxqfR,https://api.spotify.com/v1/tracks/4OQq1bcP12GQQXJNupxqfR,https://api.spotify.com/v1/audio-analysis/4OQq1bcP12GQQXJNupxqfR,254347.0,4.0,0
Yaelokre,Harpy Hare,0.645,0.6568846909805635,0.0351,0.644,0.349,35I2E525yJpUQ5ZJgfxizT,spotify:track:35I2E525yJpUQ5ZJgfxizT,https://api.spotify.com/v1/tracks/35I2E525yJpUQ5ZJgfxizT,https://api.spotify.com/v1/audio-analysis/35I2E525yJpUQ5ZJgfxizT,180923.0,4.0,2
Yash Narvekar,"Muqabla (From ""Street Dancer 3D"")",0.804,0.8893317318191746,0.0933,0.0248,0.544,28veUNu4veN0LOBVa0nFw8,spotify:track:28veUNu4veN0LOBVa0nFw8,https://api.spotify.com/v1/tracks/28veUNu4veN0LOBVa0nFw8,https://api.spotify.com/v1/audio-analysis/28veUNu4veN0LOBVa0nFw8,176125.0,4.0,1
Yashita Sharma,Gallan Goodiyaan,0.83,0.8881032976632454,0.0554,0.134,0.949,7hNYvX0qAKrxtVr1jGDmvR,spotify:track:7hNYvX0qAKrxtVr1jGDmvR,https://api.spotify.com/v1/tracks/7hNYvX0qAKrxtVr1jGDmvR,https://api.spotify.com/v1/audio-analysis/7hNYvX0qAKrxtVr1jGDmvR,296500.0,4.0,1
Yasser Desai,"Makhna - From ""Drive""",0.696,0.7599093688578293,0.0423,0.166,0.427,7BjQqiOJio4RdPL33yALKE,spotify:track:7BjQqiOJio4RdPL33yALKE,https://api.spotify.com/v1/tracks/7BjQqiOJio4RdPL33yALKE,https://api.spotify.com/v1/audio-analysis/7BjQqiOJio4RdPL33yALKE,183000.0,4.0,0
Yehezkel Raz,Ballerina,0.376,0.0,0.0678,0.993,0.429,5lm18pjbwdth6ENVllxjfl,spotify:track:5lm18pjbwdth6ENVllxjfl,https://api.spotify.com/v1/tracks/5lm18pjbwdth6ENVllxjfl,https://api.spotify.com/v1/audio-analysis/5lm18pjbwdth6ENVllxjfl,71581.0,1.0,2
Yellowcard,Ocean Avenue,0.486,0.8725158331513432,0.0638,3.43e-05,0.786,23oxJmDc1V9uLUSmN2LIvx,spotify:track:23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/tracks/23oxJmDc1V9uLUSmN2LIvx,https://api.spotify.com/v1/audio-analysis/23oxJmDc1V9uLUSmN2LIvx,198267.0,4.0,1
Yenne Lee,Autumn Leaves,0.406,0.5921052631578948,0.0593,0.958,0.119,0eWyYb3u3ltAyW58lG4vGk,spotify:track:0eWyYb3u3ltAyW58lG4vGk,https://api.spotify.com/v1/tracks/0eWyYb3u3ltAyW58lG4vGk,https://api.spotify.com/v1/audio-analysis/0eWyYb3u3ltAyW58lG4vGk,447476.0,4.0,2
Yo Yo Honey Singh,Angreji Beat,0.85,0.932381524350295,0.3,0.202,0.256,4psVrPZy07uZTLwc3Mqz4V,spotify:track:4psVrPZy07uZTLwc3Mqz4V,https://api.spotify.com/v1/tracks/4psVrPZy07uZTLwc3Mqz4V,https://api.spotify.com/v1/audio-analysis/4psVrPZy07uZTLwc3Mqz4V,256000.0,4.0,0
Yo Yo Honey Singh,Blue Eyes,0.77,0.8256169469316446,0.192,0.137,0.533,7wW9scVNLYFLsmBb1yAUmS,spotify:track:7wW9scVNLYFLsmBb1yAUmS,https://api.spotify.com/v1/tracks/7wW9scVNLYFLsmBb1yAUmS,https://api.spotify.com/v1/audio-analysis/7wW9scVNLYFLsmBb1yAUmS,220944.0,4.0,1
Yo Yo Honey Singh,Brown Rang,0.804,0.8911880323214677,0.0846,0.265,0.72,3yRLROmAcKJBqTrdEczFB8,spotify:track:3yRLROmAcKJBqTrdEczFB8,https://api.spotify.com/v1/tracks/3yRLROmAcKJBqTrdEczFB8,https://api.spotify.com/v1/audio-analysis/3yRLROmAcKJBqTrdEczFB8,211394.0,4.0,1
Yo Yo Honey Singh,"Chaar Botal Vodka (From ""Ragini Mms 2"")",0.877,0.8735531775496834,0.0713,0.421,0.874,0QHEWicUbdyWuHsMcVd1Ka,spotify:track:0QHEWicUbdyWuHsMcVd1Ka,https://api.spotify.com/v1/tracks/0QHEWicUbdyWuHsMcVd1Ka,https://api.spotify.com/v1/audio-analysis/0QHEWicUbdyWuHsMcVd1Ka,225837.0,4.0,1
Yo Yo Honey Singh,Desi Kalakaar,0.751,0.8496942563878578,0.267,0.0796,0.766,7m4CgL81VVIHaaiSxyH922,spotify:track:7m4CgL81VVIHaaiSxyH922,https://api.spotify.com/v1/tracks/7m4CgL81VVIHaaiSxyH922,https://api.spotify.com/v1/audio-analysis/7m4CgL81VVIHaaiSxyH922,253353.0,4.0,1
